,landing_page_id,origin,label
242,18,1,0.0
878,2,2,1.0
1315,115,3,1.0
297,12,6,1.0
1570,5,4,1.0
1171,49,9,0.0
1583,59,6,1.0
1139,21,4,1.0
852,18,1,0.0
132,60,5,0.0
731,1,1,0.0
1273,45,4,1.0
85,5,9,0.0
1121,12,6,1.0
1204,5,4,1.0
130,55,6,0.0
1238,198,2,1.0
1471,25,1,0.0
173,2,2,0.0
640,1,1,1.0
786,26,4,0.0
977,2,2,1.0
600,26,4,0.0
1239,40,4,0.0
1552,61,4,0.0
1109,13,6,0.0
1474,210,2,1.0
1237,45,4,1.0
579,12,6,1.0
725,159,2,0.0
1438,2,2,1.0
256,21,4,1.0
952,16,6,0.0
740,12,6,1.0
1312,73,8,0.0
1090,40,3,1.0
954,129,4,0.0
1128,114,5,1.0
862,2,2,1.0
1566,144,3,0.0
1364,54,3,0.0
849,2,2,1.0
456,5,6,1.0
1646,2,2,0.0
675,18,1,1.0
465,5,4,0.0
1046,26,9,0.0
717,12,6,1.0
730,70,4,0.0
380,40,4,0.0
577,21,4,0.0
56,2,2,0.0
3,2,2,1.0
1100,26,4,1.0
74,12,3,0.0
665,154,4,0.0
518,58,6,0.0
433,118,7,1.0
1373,2,2,1.0
195,2,2,1.0
1512,46,4,0.0
1359,40,4,0.0
126,58,6,0.0
1029,2,2,1.0
540,53,1,0.0
