,landing_page_id,origin,label
1586,1,1,1.0
584,5,9,1.0
647,110,6,0.0
249,87,4,1.0
1549,21,4,1.0
879,23,1,0.0
14,12,6,1.0
659,12,6,1.0
487,35,6,0.0
1280,29,6,0.0
1176,13,6,0.0
493,2,2,1.0
1008,21,4,1.0
402,5,6,1.0
289,5,4,1.0
912,1,1,0.0
76,5,4,1.0
1191,4,5,0.0
837,12,6,0.0
1103,50,5,0.0
1511,28,4,1.0
492,2,4,0.0
1508,5,1,1.0
1422,2,2,0.0
250,12,6,1.0
1527,21,1,0.0
908,174,5,1.0
751,77,2,0.0
382,12,6,0.0
243,70,3,0.0
1349,204,4,1.0
899,40,4,1.0
1308,16,6,0.0
988,21,5,1.0
851,63,3,0.0
752,49,4,0.0
715,36,7,0.0
821,26,4,0.0
127,45,7,0.0
836,66,3,1.0
1025,99,6,1.0
274,5,4,1.0
635,72,6,0.0
1122,190,2,1.0
1229,2,4,1.0
440,120,4,1.0
686,2,2,1.0
894,18,1,0.0
1067,22,4,0.0
1053,5,4,1.0
578,4,4,0.0
475,21,4,0.0
356,1,1,0.0
1470,3,2,0.0
245,9,6,1.0
1616,4,4,0.0
1419,12,6,0.0
615,21,4,0.0
262,91,6,1.0
1524,216,3,0.0
728,160,6,1.0
1295,21,5,1.0
192,2,2,0.0
1372,5,4,1.0
251,2,2,0.0
1123,5,4,0.0
280,93,6,0.0
257,2,4,1.0
762,18,1,0.0
1356,2,6,0.0
1558,2,2,1.0
48,31,8,0.0
1186,134,5,1.0
96,5,6,1.0
1143,21,4,1.0
504,3,4,0.0
1306,2,2,1.0
825,4,4,0.0
850,2,2,1.0
678,157,6,1.0
1150,55,6,0.0
671,21,4,1.0
950,21,4,1.0
1538,58,6,0.0
747,1,1,1.0
1048,21,4,1.0
1320,29,1,0.0
1253,12,6,1.0
1011,21,4,1.0
222,2,2,1.0
1442,18,1,0.0
1210,18,1,0.0
1462,5,6,0.0
1622,40,4,1.0
1216,21,4,1.0
587,21,5,0.0
1206,2,2,1.0
838,151,6,0.0
620,2,2,1.0
392,2,2,1.0
1219,124,4,0.0
161,71,3,1.0
1202,128,3,0.0
928,21,6,0.0
748,40,6,1.0
1270,176,6,0.0
1571,73,5,1.0
602,142,6,1.0
1403,1,1,1.0
348,104,6,0.0
1055,28,2,1.0
1603,25,1,0.0
1401,5,4,1.0
1569,21,4,1.0
311,59,4,0.0
208,27,6,1.0
495,18,1,1.0
314,99,6,1.0
66,5,4,1.0
551,1,1,1.0
234,5,5,1.0
1059,21,4,1.0
351,21,4,1.0
506,18,1,1.0
1500,18,1,0.0
204,25,1,0.0
1489,21,6,0.0
1125,4,9,0.0
1183,21,4,0.0
218,21,5,1.0
1425,21,9,1.0
124,57,5,1.0
105,12,5,1.0
1435,4,6,1.0
559,21,6,1.0
118,54,3,0.0
859,139,6,1.0
505,2,4,1.0
631,147,6,1.0
79,42,9,0.0
896,2,2,1.0
486,21,4,1.0
733,99,6,1.0
1402,38,4,1.0
6,5,5,1.0
603,143,7,0.0
696,2,2,1.0
1033,5,4,0.0
1642,4,6,0.0
102,5,6,1.0
1335,21,6,1.0
1334,152,3,0.0
1358,93,6,0.0
714,26,3,0.0
549,2,2,1.0
1138,21,4,0.0
1142,12,6,0.0
1578,5,3,1.0
1341,66,4,0.0
343,18,1,1.0
19,16,6,1.0
929,21,4,1.0
1455,2,2,1.0
337,1,1,1.0
116,12,6,1.0
1452,21,5,0.0
1617,12,6,0.0
1513,18,1,0.0
482,5,4,0.0
474,2,2,0.0
1528,13,4,0.0
1250,119,4,0.0
1563,219,8,0.0
376,21,9,0.0
865,65,6,0.0
1215,54,3,1.0
499,21,2,1.0
1643,12,6,0.0
110,2,2,0.0
1047,2,2,0.0
926,1,1,0.0
693,2,2,1.0
1392,21,4,1.0
1612,222,2,0.0
1540,21,9,0.0
1515,52,6,0.0
1531,2,5,0.0
316,55,6,1.0
642,72,6,0.0
1241,40,4,1.0
1062,134,4,0.0
623,49,5,1.0
1082,47,6,1.0
697,18,1,0.0
995,117,1,0.0
1370,12,6,1.0
25,20,3,1.0
1275,38,4,0.0
214,2,2,1.0
371,12,4,0.0
1301,26,8,0.0
839,28,4,1.0
1000,181,5,0.0
125,1,1,0.0
22,12,6,1.0
286,2,4,1.0
984,40,4,0.0
606,21,5,0.0
223,26,2,0.0
292,5,4,1.0
71,1,1,0.0
588,21,4,1.0
1157,16,6,1.0
1400,2,2,1.0
1063,54,3,0.0
247,6,6,0.0
833,168,5,1.0
598,5,6,1.0
254,88,5,1.0
981,178,7,1.0
738,129,2,1.0
468,18,1,1.0
1577,21,1,0.0
0,1,1,0.0
1235,83,4,0.0
951,1,1,1.0
1267,16,6,0.0
898,5,4,1.0
12,10,4,0.0
1456,2,2,0.0
285,54,3,0.0
37,2,2,1.0
1620,35,10,0.0
1597,12,1,1.0
1390,108,3,0.0
252,5,6,0.0
1374,1,1,0.0
21,1,7,0.0
1290,89,1,0.0
704,54,3,0.0
657,21,4,0.0
895,5,4,1.0
1415,16,6,1.0
832,26,4,1.0
1223,2,2,1.0
1487,18,1,0.0
226,2,2,0.0
532,4,1,0.0
625,2,2,0.0
179,40,4,0.0
139,1,1,1.0
681,5,5,1.0
385,111,9,1.0
158,69,6,1.0
293,21,4,0.0
1493,21,4,0.0
744,2,2,1.0
236,82,3,0.0
1172,16,6,0.0
536,136,8,1.0
439,26,4,0.0
231,73,6,1.0
1351,21,5,0.0
601,1,1,1.0
773,1,1,1.0
857,171,4,0.0
1448,40,4,1.0
1187,2,2,1.0
432,21,6,1.0
592,18,1,0.0
1003,1,1,0.0
344,26,4,1.0
1613,21,5,1.0
1006,21,3,0.0
1200,2,2,0.0
59,35,6,0.0
957,1,8,0.0
1102,2,2,0.0
1627,4,6,1.0
799,73,2,1.0
469,45,7,1.0
